Skolenhetskod;Skolenhetsnamn;Huvudman_Namn
18135195;Komvux Tjörn;TJÖRNS KOMMUN
84724191;Altorpskolan A C;HERRLJUNGA KOMMUN
31126240;Od skola;HERRLJUNGA KOMMUN
36869705;Bondsjöhöjdens skola;HÄRNÖSANDS KOMMUN
91634644;Brunne skola;HÄRNÖSANDS KOMMUN
67320845;Brännaskolan;HÄRNÖSANDS KOMMUN
85295425;Geresta-/Hedda Wising Anpassad Grundskola;HÄRNÖSANDS KOMMUN
51537516;Häggdånger byskola;HÄRNÖSANDS KOMMUN
74833346;Alléskolan;LANDSKRONA KOMMUN
78789883;Hälledals skola;HÄRNÖSANDS KOMMUN
55535552;Härnösands gymnasium 1;HÄRNÖSANDS KOMMUN
52287808;Flens kristna skola;Flens Kristna Skola AB
38394561;Södertälje friskola;SÖDERTÄLJE FRISKOLA AKTIEBOLAG
45355980;Thoren Innovation School Malmö 2;Tekniska Gymnasiet i Sverige AB
19560192;Härnösands gymnasium 2;HÄRNÖSANDS KOMMUN
30468157;Härnösands gymnasium 3;HÄRNÖSANDS KOMMUN
31964115;Härnösands gymnasium Anpassad Gymnasieskola;HÄRNÖSANDS KOMMUN
30881651;Thoren Framtid i Kalmar;Skolalliansen i Sverige AB
48252217;Thoren Framtid i Falköping;Skolalliansen i Sverige AB
93068004;Murbergsskolan;HÄRNÖSANDS KOMMUN
45142548;Solenskolan åk F-6;HÄRNÖSANDS KOMMUN
97940004;Wendela Hellmanskolan;HÄRNÖSANDS KOMMUN
27395094;Älandsbro skola åk F-6;HÄRNÖSANDS KOMMUN
53536862;Duveds skola F-9;ÅRE KOMMUN
50312931;Kronaskolan F-3 KR;ALE KOMMUN
22284806;Rickarums skola;RICKARUMS SKOLFÖRENING
34990065;Öknaskolan;REGION SÖRMLAND
20160192;Västerås Montessoriskola;VÄSTERÅS MONTESSORISKOLA AB
57675334;Nottebäckskolan;UPPVIDINGE KOMMUN
11953769;Uppvidinge Lärcenter;UPPVIDINGE KOMMUN
75658239;Åsedaskolan 7-9;UPPVIDINGE KOMMUN
82153403;Dorotea Lärcentrum, komvux;DOROTEA KOMMUN
88215531;Dorotea Lärcentrum särvux;DOROTEA KOMMUN
75786801;Fågelbärets anpassade grundskola;VÄSTERVIKS KOMMUN
12864383;Nybro Montessoriskola;NYBRO INTRESSEFÖRENING FÖR MONTESSORI
23590274;Ludvigsborgs anpassade grundskola;VÄSTERVIKS KOMMUN
27030026;Rekarnegymnasiet 2;ESKILSTUNA KOMMUN
57131254;Stentägtskolan;SÖDERHAMNS KOMMUN
93763694;Stugsunds skola;SÖDERHAMNS KOMMUN
94591900;Christinaskolan 7-9;PITEÅ KOMMUN
52510171;Christinaskolan F-6;PITEÅ KOMMUN
60057447;Christinaskolan Anpassad Grundskola;PITEÅ KOMMUN
43479922;Skanskagymnasiet;Skanskaskolan i Växjö AB
96215279;Central Insamlingsenhet;LJUSDALS KOMMUN
50270023;Ljusdals anpassade grundskola;LJUSDALS KOMMUN
76365900;Dansutskolan F-6;GNESTA KOMMUN
23306658;Slottegymnasiet;LJUSDALS KOMMUN
97659691;Stenhamreskolan 7-9;LJUSDALS KOMMUN
44233076;Bjurhovdaskolan;VÄSTERÅS KOMMUN
43964654;Idun anpassad gymnasieskola individuellt program;NYNÄSHAMNS KOMMUN
76505153;Anpassad grundskola 1-6, Regnskogen;GISLAVEDS KOMMUN
78543313;Idun anpassad grundskola inriktning ämnesområden;NYNÄSHAMNS KOMMUN
68742708;Anpassad grundskola 7-9, Lunden;GISLAVEDS KOMMUN
52561988;Skytteanska skolan;STORUMANS KOMMUN
96944864;Slussfors skola;STORUMANS KOMMUN
21850904;Volvogymnasiet Skövde;Volvo Industrial Academy AB
21786908;Johansfors skola   F-6;EMMABODA KOMMUN
37716305;Bjurbäcksskolan 7-9;EMMABODA KOMMUN
73798677;Bjurbäcksskolan F-6;EMMABODA KOMMUN
75696100;Central Insamlingsenhet;EMMABODA KOMMUN
83631514;Emmaboda komvux;EMMABODA KOMMUN
13658508;Emmaboda komvux, SFI;EMMABODA KOMMUN
96248484;Emmaboda komvux som anpassad utbildning;EMMABODA KOMMUN
76954248;Lindåsskolan  F-6;EMMABODA KOMMUN
47684564;Adolfsbergsskolan 7-9;ÖREBRO KOMMUN
94837012;Långasjö skola F-6;EMMABODA KOMMUN
17846181;Vilhelm Mobergsgymnasiet;EMMABODA KOMMUN
41013207;Vissefjärda skola F-6;EMMABODA KOMMUN
87500149;Munkedalsskolan;MUNKEDALS KOMMUN
61730546;Björkhagaskolan;ÖREBRO KOMMUN
50047434;Brunnsskolan;ÖREBRO KOMMUN
69043808;Byleskolan;TÄBY KOMMUN
51563299;Kollaskolan 7-9 AGR;KUNGSBACKA KOMMUN
21047778;Kollaskolan F-3;KUNGSBACKA KOMMUN
40703394;Ervalla skola;ÖREBRO KOMMUN
26742346;Solna Enskilda Skola;BARNENS MONTESSORIAKADEMI ÖSTERMALM AB
25337560;Centrum för livslångt lärande;GISLAVEDS KOMMUN
57519823;Hampetorps skola;ÖREBRO KOMMUN
27211026;Presseskolan F-3;KUNGSBACKA KOMMUN
19112648;Skogsängsskolan F-6;ESKILSTUNA KOMMUN
63524247;Kryddgårdsskolan;ÖREBRO KOMMUN
89989940;Gullviveskolan;GISLAVEDS KOMMUN
66004397;Latorps skola;ÖREBRO KOMMUN
82127811;Villstadskolan;GISLAVEDS KOMMUN
69293291;Lundbyskolan;ÖREBRO KOMMUN
19041877;Torslundaskolan;MÖRBYLÅNGA KOMMUN
26290434;Mellringeskolan 7-9;ÖREBRO KOMMUN
72090315;Särö skola 6-9;KUNGSBACKA KOMMUN
32837182;Särö skola F-5;KUNGSBACKA KOMMUN
95079835;Mellringeskolan F-6;ÖREBRO KOMMUN
12248380;Navet;ÖREBRO KOMMUN
14513548;Norrbyskolan;ÖREBRO KOMMUN
